Date,Open,High,Low,Close,Volume
10/23/2020 15:30:00,128.4,128.75,126.05,126.6,1061404
10/26/2020 15:30:00,126.9,127.6,125.5,125.75,791842
10/27/2020 15:30:00,125.75,126.45,123.25,123.9,1071950
10/28/2020 15:30:00,124.5,126.75,124.15,126.3,1018996
10/29/2020 15:30:00,126,127.1,125.2,126.85,707947
10/30/2020 15:30:00,126.15,127.05,123.2,125.6,877824
11/2/2020 15:30:00,125.2,129.25,124.7,128.1,8196819
11/3/2020 15:30:00,129.35,133.15,128.05,130.4,3408186
11/4/2020 15:30:00,130.8,130.8,127,127.6,650432
11/5/2020 15:30:00,128.1,132.55,127.45,131.15,806385
11/6/2020 15:30:00,131,132.75,128.3,128.95,807526
11/9/2020 15:30:00,129.65,130.15,128.5,128.9,311887
11/10/2020 15:30:00,129.35,129.85,126.55,126.65,1001620
11/11/2020 15:30:00,126.7,132.5,126.7,131.4,1888787
11/12/2020 15:30:00,133,136.8,132.5,135,3349198
11/13/2020 15:30:00,133.95,142.8,131.4,141.9,5589252
11/17/2020 15:30:00,143.8,144.5,138.55,141.85,1851079
11/18/2020 15:30:00,141.9,143.4,139.2,139.6,989701
11/19/2020 15:30:00,139.05,143.4,136.5,137.15,1147855
11/20/2020 15:30:00,137.6,140,136.6,139.2,1204894
11/23/2020 15:30:00,140,143.35,138.25,142.3,1758239
11/24/2020 15:30:00,143,151,141.7,146.6,7399402
11/25/2020 15:30:00,147,151.6,144.1,145.25,3093146
11/26/2020 15:30:00,149,150,145.3,148,5280833
11/27/2020 15:30:00,148.7,153.85,148.35,150.9,5346027
12/1/2020 15:30:00,152.15,155.9,148.05,152.95,7981013
12/2/2020 15:30:00,154.2,154.5,148.1,150.05,2429671
12/3/2020 15:30:00,145.9,147.8,144.1,144.95,3773935
12/4/2020 15:30:00,146,147,141.1,142.2,2209526
12/7/2020 15:30:00,142.4,145.9,142.4,145.15,1704276
12/8/2020 15:30:00,146.05,147.9,143.5,144.9,2194384
12/9/2020 15:30:00,145.55,146,142.5,144.15,1163636
12/10/2020 15:30:00,143.7,148.95,141.75,148.1,2295851
12/11/2020 15:30:00,148.9,153.4,148.2,152.15,4121121
12/14/2020 15:30:00,152,157.85,150.1,155.4,4544849
12/15/2020 15:30:00,155.05,159.45,154.05,158.15,6159495
12/16/2020 15:30:00,159.5,162,156.55,158,1698199
12/17/2020 15:30:00,157.9,162,157.05,158.25,1826575
12/18/2020 15:30:00,157.3,161.6,153.1,158.85,4837694
12/21/2020 15:30:00,159.1,161.8,150.4,152.75,2137509
12/22/2020 15:30:00,153,157.8,148.05,154.35,2318147
12/23/2020 15:30:00,154.9,158.45,152.55,154,2251989
12/24/2020 15:30:00,154.95,157.1,153.2,154.05,1328722
12/28/2020 15:30:00,154.9,158.4,154.25,155.65,1038264
12/29/2020 15:30:00,155.95,157,152.35,156.3,1506280
12/30/2020 15:30:00,155.1,156.2,151.4,154.3,1309215
12/31/2020 15:30:00,156.3,158.6,154.1,155.2,2047677
1/1/2021 15:30:00,156,156.6,154.15,156,670919
1/4/2021 15:30:00,156.9,157.4,153.25,155.75,2250071
1/5/2021 15:30:00,155,159.9,154,155.9,3960113
1/6/2021 15:30:00,160,168.9,158.55,162.1,14196916
1/7/2021 15:30:00,164,166.5,160.6,163.9,3645932
1/8/2021 15:30:00,165.7,181.2,164.85,179.4,16293902
1/11/2021 15:30:00,180.95,182.1,170.5,174.4,6653525
1/12/2021 15:30:00,175.95,177.1,171.15,171.8,3270150
1/13/2021 15:30:00,172.05,176.5,162.1,167.55,5104842
1/14/2021 15:30:00,167,177.75,164.55,171.65,5419711
1/15/2021 15:30:00,171.5,172.65,164.7,166.35,3258556
1/18/2021 15:30:00,167.1,170,163.2,163.9,2790557
1/19/2021 15:30:00,165.75,169.7,165.25,168.8,1646882
1/20/2021 15:30:00,168.6,170.5,166.35,167.2,1581727
1/21/2021 15:30:00,168.1,171.1,162.5,163.65,2089113
1/22/2021 15:30:00,164.4,169.4,163.5,165.7,2782513
1/25/2021 15:30:00,166.85,177,163.1,172.4,6400409
1/27/2021 15:30:00,172.6,173.7,162.75,164.4,4210193
1/28/2021 15:30:00,162.9,165.95,161.2,162.6,2113804
1/29/2021 15:30:00,163.65,164.7,160.5,161.55,1640846
2/1/2021 15:30:00,163,165,160.25,163.6,3644422
2/2/2021 15:30:00,165.3,166.25,163.1,163.85,1054622
2/3/2021 15:30:00,164.2,170,163.4,169.35,2928550
2/4/2021 15:30:00,170,172,167.6,171.15,1551150
2/5/2021 15:30:00,172.5,173,164.1,167.5,2680143
2/8/2021 15:30:00,171.75,173,168,168.75,2545140
2/9/2021 15:30:00,169.45,179.4,168.8,173.95,6610807
2/10/2021 15:30:00,175,180,171.55,177.8,5106654
2/11/2021 15:30:00,176.4,176.5,169.65,171.15,4418615
2/12/2021 15:30:00,171.45,172.75,165,165.45,3910590
2/15/2021 15:30:00,166.9,167.65,161.7,163.45,3256751
2/16/2021 15:30:00,164.9,166.85,161.6,162.7,2942249
2/17/2021 15:30:00,163,165,157.6,160.55,5360551
2/18/2021 15:30:00,162,163.5,159.2,160.05,4012344
2/19/2021 15:30:00,159,161.5,158,158.85,1803767
2/22/2021 15:30:00,159.45,160.2,156,159.35,2301557
2/23/2021 15:30:00,160,164.95,159.35,162.55,2824089
2/24/2021 15:30:00,164,164.2,159.25,160.6,709665
2/25/2021 15:30:00,160.65,161.9,158.5,159,1889983
2/26/2021 15:30:00,157,160.55,156.45,158.35,1108001
3/1/2021 15:30:00,159,172.4,159,170.75,5710024
3/2/2021 15:30:00,172.5,179.9,169.55,175.55,4919780
3/3/2021 15:30:00,177,179.75,170.35,173.9,4121967
3/4/2021 15:30:00,170,184.7,169.7,178.55,6426919
3/5/2021 15:30:00,178.3,186,174,177.4,4369247
3/8/2021 15:30:00,178.15,181.4,175.65,178.05,2280145
3/9/2021 15:30:00,179,184.9,177.4,181.7,6748783
3/10/2021 15:30:00,182.5,185,176.1,179.7,3856608
3/12/2021 15:30:00,182.4,183.45,177.7,180.05,3619549
3/15/2021 15:30:00,180.8,188.95,177.65,186.9,5468749
3/16/2021 15:30:00,188.65,206.3,186.95,194.05,17999272
3/17/2021 15:30:00,195.2,199.2,183.1,184.65,6952488
3/18/2021 15:30:00,190,193.7,186.5,188.45,7162945
3/19/2021 15:30:00,188,195.4,183.1,192.4,4520119
3/22/2021 15:30:00,193.15,204.5,191.05,202.15,8868991
3/23/2021 15:30:00,203.9,212.7,200,208.95,5448134
3/24/2021 15:30:00,209,216.7,206,207.85,9688878
3/25/2021 15:30:00,209.3,211.8,195.55,199.85,5749238
3/26/2021 15:30:00,204,205.8,196.2,198.55,2943558
3/30/2021 15:30:00,201.7,205.65,197.5,200.6,2651307
3/31/2021 15:30:00,201,202,196,199.15,2289561
4/1/2021 15:30:00,201,203.8,198.15,202.25,1650936
4/5/2021 15:30:00,204,227.35,201.2,219.4,13070896
4/6/2021 15:30:00,218.95,218.95,212.25,214.95,6971422
4/7/2021 15:30:00,215.2,219.65,212.5,213.55,3380642
4/8/2021 15:30:00,215,223.3,211,212.35,5993349
4/9/2021 15:30:00,214.1,215.55,207.15,207.95,3139824
4/12/2021 15:30:00,204,216,201,205.95,6623960
4/13/2021 15:30:00,206.2,209.45,199.25,200.9,5224442
4/15/2021 15:30:00,203,208.7,201.2,205.9,4553093
4/16/2021 15:30:00,206.5,206.5,203,203.65,2417435
4/19/2021 15:30:00,201.75,207.6,198.95,200.4,4288546
4/20/2021 15:30:00,203.85,217.5,203.1,207.9,10949396
4/22/2021 15:30:00,209,214,208.6,211.25,6077541
4/23/2021 15:30:00,212.65,214.75,205.35,207.8,3574189
4/26/2021 15:30:00,209.1,210,204.5,204.9,2379968
4/27/2021 15:30:00,206.05,211.4,205.3,208.85,2737706
4/28/2021 15:30:00,210.6,216,210,211.7,3781016
4/29/2021 15:30:00,213.65,216.65,209,210.25,3477855
4/30/2021 15:30:00,210.45,215.5,210,210.7,2444471
5/3/2021 15:30:00,214,228.4,213.3,223.9,16074527
5/4/2021 15:30:00,228.15,231,213.6,215.35,8059458
